agency_id,agency_name,agency_url,agency_lang,agency_phone,agency_email,agency_timezone,agency_fare_url,agency_branding_url
OP1059,Frome Minibuses,http://www.traveline.info,EN,,,Europe/London,,
OP1060,Bath Bus Company,https://www.airdecker.com,EN,,,Europe/London,,
OP1062,South West Coaches,http://www.southwestcoaches.co.uk,EN,,,Europe/London,,
OP1063,Libra Travel,https://tfl.gov.uk,EN,0344 222 1234,,Europe/London,,
OP1064,Somerset County Council,http://www.traveline.info,EN,,,Europe/London,,
OP1065,"First Wessex, Dorset & South Somerset",https://www.firstgroup.com/wessex-dorset-south-somerset,EN,,,Europe/London,,
OP1067,Berrys Coaches,http://www.berryscoaches.co.uk,EN,,,Europe/London,,
OP1068,W Ridler & Sons,http://www.traveline.info,EN,,,Europe/London,,
OP1069,Isle Valley Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1072,Exmoor Community Bus Association,http://www.traveline.info,EN,,,Europe/London,,
OP1073,Isle Of Wedmore Rt Assoc.,http://www.traveline.info,EN,,,Europe/London,,
OP1074,Damory,http://www.damory.co.uk/,EN,,,Europe/London,,
OP1075,more,http://www.morebus.co.uk,EN,,,Europe/London,,
OP1076,Yellow Buses,https://www.yellowbuses.co.uk/,EN,,,Europe/London,,
OP108,arriva in the Midlands,https://www.arrivabus.co.uk/midlands,EN,,,Europe/London,,
OP1080,Swanage Railway Company,http://www.traveline.info,EN,,,Europe/London,,
OP1081,Sandbanks Ferry,http://www.sandbanksferry.co.uk,EN,,,Europe/London,,
OP1082,Stagecoach South,https://www.stagecoachbus.com/about/south,EN,,,Europe/London,,
OP1083,Wheelers Travel,http://www.wheelerstravel.co.uk/,EN,,,Europe/London,,
OP1085,Bluestar,http://www.bluestarbus.co.uk,EN,,,Europe/London,,
OP1086,Southern Vectis,http://www.islandbuses.info/,EN,,,Europe/London,,
OP1089,Hartley Wintney Community Bus,http://www.traveline.info,EN,,,Europe/London,,
OP109,Astons Coaches,http://www.astons-coaches.co.uk/,EN,,,Europe/London,,
OP1091,Cresta Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1092,Stagecoach South,https://www.stagecoachbus.com/about/south,EN,,,Europe/London,,
OP1095,amk group,http://amk.co.uk,EN,,,Europe/London,,
OP11,Clynnog & Trefor,http://www.clynnogandtrefor.com,EN,,,Europe/London,,
OP110,Banga Buses,http://www.traveline.info,EN,http://bangabuses.co.uk/,,Europe/London,,
OP1100,Xelabus,http://xelabus.info,EN,,,Europe/London,,
OP1101,Herrington Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1104,Basingstoke Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1105,Salisbury reds,http://www.salisburyreds.co.uk/,EN,01202 338 420,,Europe/London,,
OP1106,Wheel Drive,http://www.traveline.info,EN,,,Europe/London,,
OP1109,FYTbus,http://www.fytbus.org.uk,EN,,,Europe/London,,
OP111,Cen ap Tomos,http://www.traveline.info,EN,,,Europe/London,,
OP1112,Meon Valley Community Bus,http://www.traveline.info,EN,,,Europe/London,,
OP1113,Unilink,http://www.unilinkbus.co.uk/,EN,,,Europe/London,,
OP1114,Cowes Floating Bridge,https://www.iwfloatingbridge.co.uk,EN,,,Europe/London,,
OP1115,Gosport-Portsmouth Ferry,http://www.gosportferry.co.uk,EN,,,Europe/London,,
OP1116,Hayling Ferry,http://www.haylingferry.net,EN,,,Europe/London,,
OP1117,White Horse Ferries,http://hytheferry.co.uk,EN,,,Europe/London,,
OP1118,Hover Travel,http://www.hovertravel.co.uk,EN,,,Europe/London,,
OP1119,Red Funnel,http://www.redfunnel.co.uk/,EN,+44 (0)23 8001 9192,,Europe/London,,
OP112,Chepstow Classic Buses,http://www.traveline.info,EN,,,Europe/London,,
OP1120,Wightlink,http://www.wightlink.co.uk,EN,0333 999 7333,,Europe/London,,
OP1121,Jackies Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1122,Robert Eugene Dix,http://www.traveline.info,EN,,,Europe/London,,
OP1123,Stagecoach West,https://www.stagecoachbus.com/about/west,EN,,,Europe/London,,
OP1124,Cheltenham Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1125,Swanbrook Coaches,http://www.swanbrook.co.uk/,EN,,,Europe/London,,
OP1126,Cotswold Green,http://www.traveline.info,EN,,,Europe/London,,
OP1127,Ebley Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1128,Marchants,http://www.marchants-coaches.com,EN,,,Europe/London,,
OP1129,F R Willetts,http://www.traveline.info,EN,,,Europe/London,,
OP113,Caerphilly County Borough Council,http://www.traveline.info,EN,,,Europe/London,,
OP1130,Crystal Cars,http://www.traveline.info,EN,,,Europe/London,,
OP1131,Mike's Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1132,Forest Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1133,K B Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1136,LNER,https://www.lner.co.uk,EN,0345 722 5333,,Europe/London,,
OP1138,N.N. Cresswell,http://www.nncresswell.co.uk,EN,,,Europe/London,,
OP1140,Newent Shuttle,http://www.traveline.info,EN,,,Europe/London,,
OP1142,Belfitt's Mini-Coach Hire,http://www.traveline.info,EN,,,Europe/London,,
OP1143,Henshaw's Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1144,Hedgehog Community Bus,http://www.traveline.info,EN,,,Europe/London,,
OP1145,Taylors Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1146,Stagecoach West,https://www.stagecoachbus.com/about/west,EN,,,Europe/London,,
OP1147,Swindon's Bus Company,https://www.swindonbus.co.uk/,EN,,,Europe/London,,
OP1148,Coachstyle,https://www.sleeper.scot,EN,0330 060 0500,,Europe/London,,
OP115,Crickhowell Taxis,http://www.traveline.info,EN,,,Europe/London,,
OP1150,Beeline Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1152,Three Villages MiniBus,http://www.traveline.info,EN,,,Europe/London,,
OP1153,Community Transport South Wiltshire,http://www.traveline.info,EN,,,Europe/London,,
OP1154,Ramsbury Community Bus,http://www.traveline.info,EN,,,Europe/London,,
OP1155,The Seend Shuttle,http://www.traveline.info,EN,,,Europe/London,,
OP1157,Connect2Wiltshire,http://www.bookaride.co.uk,EN,,,Europe/London,,
OP116,DANSA,http://www.dansa.org.uk,EN,,,Europe/London,,
OP1162,South Gloucestershire Council,http://www.traveline.info,EN,,,Europe/London,,
OP1164,Eagle Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1166,Taf Valley Coaches,http://tafvalleycoaches.co.uk/time_tables.php,EN,,,Europe/London,,
OP1167,Tanat Valley,http://www.tanat.co.uk,EN,,,Europe/London,,
OP1169,Transport for London,https://tfl.gov.uk/modes/tube/,EN,0343 222 1234,,Europe/London,,
OP1172,Docklands Light Railway,https://tfl.gov.uk/modes/dlr/,EN,,,Europe/London,,
OP1178,MBNA Thames Clippers,http://www.thamesclippers.com/,EN,,,Europe/London,,
OP1179,Transport for London,https://tfl.gov.uk/modes/river/woolwich-ferry,EN,,,Europe/London,,
OP1182,Transport for London,https://tfl.gov.uk,EN,,,Europe/London,,
OP1183,HCT Group,http://bristolcommunitytransport.org.uk/,EN,,,Europe/London,,
OP1188,Transport for London,https://tfl.gov.uk/modes/trams/,EN,,,Europe/London,,
OP1189,Transport for London,https://tfl.gov.uk,EN,,,Europe/London,,
OP119,C G Myall & Son,http://www.traveline.info,EN,,,Europe/London,,
OP1190,hotel hoppa,https://www.hotelhoppa.co.uk/,EN,,,Europe/London,,
OP1191,AT Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1193,Transport for London,https://tfl.gov.uk/modes/emirates-air-line/,EN,0343 222 1234,,Europe/London,,
OP1195,Transport for London,https://tfl.gov.uk/,EN,,,Europe/London,,
OP1198,Transport for London,https://tfl.gov.uk,EN,,,Europe/London,,
OP120,Stagecoach East,https://www.stagecoachbus.com/about/east,EN,,,Europe/London,,
OP1200,Travel Final Ltd.,http://www.traveline.info,EN,,,Europe/London,,
OP1201,Yeomans Travel,http://www.yeomanscoachholidays.com,EN,,,Europe/London,,
OP1202,DRM Bus,http://www.drmbus.com,EN,,,Europe/London,,
OP1203,Lugg Valley Travel,http://www.yeomanscoachholidays.com,EN,,,Europe/London,,
OP1205,Sargeants,http://www.sargeantsbros.com,EN,,,Europe/London,,
OP1206,First Worcestershire,https://www.firstgroup.com/worcestershire,EN,,,Europe/London,,
OP1208,Bennetts,http://www.bennettstravelcranberryltd.co.uk,EN,,,Europe/London,,
OP1212,R & B Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1214,Wrekin Rider,http://www.traveline.info,EN,,,Europe/London,,
OP1215,Caradoc Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1216,Lakeside of Ellesmere,http://lakesidecoaches.co.uk,EN,,,Europe/London,,
OP1218,Minsterley Motors,http://www.minsterleymotors.co.uk/?page_id=6382,EN,,,Europe/London,,
OP122,Big Green Bus Company,http://www.traveline.info,EN,,,Europe/London,,
OP1221,Yarrantons of Eardiston,http://www.yarrantons.co.uk,EN,,,Europe/London,,
OP1223,Oswestry Community Action (Qube),http://www.traveline.info,EN,,,Europe/London,,
OP1224,the Potteries,https://www.firstgroup.com/potteries,EN,,,Europe/London,,
OP1225,Scragg's,http://www.scraggs.co.uk,EN,,,Europe/London,,
OP1228,Wyre Forest Dial a Ride,http://www.traveline.info,EN,,,Europe/London,,
OP1229,Coniston Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP123,Whippet Coaches,http://www.go-whippet.co.uk/,EN,,,Europe/London,,
OP1230,LMS Travel,http://www.lmstravel.co.uk,EN,,,Europe/London,,
OP1231,Hollands,http://www.traveline.info,EN,,,Europe/London,,
OP1232,MRD,http://www.traveline.info,EN,,,Europe/London,,
OP1233,Dudley's Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1236,Clearway of Catshill,http://www.traveline.info,EN,,,Europe/London,,
OP1239,Valentines Travel,http://www.traveline.info,EN,,,Europe/London,,
OP124,Lords Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1242,Watts Bus,http://www.wattscoaches.co.uk,EN,,,Europe/London,,
OP1243,Windy Corner Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1244,John's Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1259,CallConnect,http://www.traveline.info,EN,,,Europe/London,,
OP1261,Arrow Essex Dart,http://www.traveline.info,EN,,,Europe/London,,
OP1264,London Sovereign,http://www.traveline.info,EN,,,Europe/London,,
OP1266,Transport for Wales,https://www.tfwrail.wales,EN,033 33 211 202,,Europe/London,,
OP1267,c2c,https://www.c2c-online.co.uk/,EN,0345 744 4422,,Europe/London,,
OP1268,Chiltern Railways,https://www.chilternrailways.co.uk/,EN,03456 005 165,,Europe/London,,
OP1269,CrossCountry,https://www.crosscountrytrains.co.uk/,EN,0844 811 0124,,Europe/London,,
OP127,The Voluntary Network,http://www.traveline.info,EN,,,Europe/London,,
OP1270,MISSING_NAME,http://www.traveline.info,EN,,,Europe/London,,
OP1271,LNER,https://www.lner.co.uk,EN,0345 722 5333,,Europe/London,,
OP1272,Eurostar,https://www.eurostar.com/,EN,+44 (0)1233 617 575,,Europe/London,,
OP1273,Hull Trains,https://www.hulltrains.co.uk/,EN,0345 071 0222,,Europe/London,,
OP1274,ScotRail,https://www.scotrail.co.uk/,EN,0344 811 0141,,Europe/London,,
OP1275,Transpennine Express,https://www.tpexpress.co.uk/,EN,0345 600 1671,,Europe/London,,
OP1277,Grand Central,https://www.grandcentralrail.com/,EN,0345 603 4852,,Europe/London,,
OP1279,Heathrow Express,https://www.heathrowexpress.com/,EN,+44 (0) 345 600 1515,,Europe/London,,
OP1280,Island Line,https://www.southwesternrailway.com/destinations-and-offers/island-line,EN,0345 6000 650,,Europe/London,,
OP1281,West Midlands Trains,https://wmtrains.co.uk,EN,0344 811 0133,,Europe/London,,
OP1282,Overground,https://tfl.gov.uk/modes/london-overground/,EN,0343 222 1234,,Europe/London,,
OP1283,Merseyrail,https://www.merseyrail.org/,EN,0151 555 1111,,Europe/London,,
OP1284,greateranglia,https://www.greateranglia.co.uk,EN,0345 600 7245,,Europe/London,,
OP1287,northern,https://www.northernrailway.co.uk/,EN,0800 200 6060,,Europe/London,,
OP1288,South Western Railway,https://www.southwesternrailway.com/,EN,0345 6000 650,,Europe/London,,
OP1289,southeastern,https://www.southeasternrailway.co.uk/,EN,0345 322 7021,,Europe/London,,
OP129,Dews Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1290,Southern,http://www.southernrailway.com/,EN,03451 27 29 20,,Europe/London,,
OP1291,Avanti West Coast,https://www.avantiwestcoast.co.uk,EN,0344 556 5650,,Europe/London,,
OP1292,West Coast Railways,http://www.westcoastrailways.co.uk/,EN,0844 850 4685,,Europe/London,,
OP1293,Great Northern,https://www.greatnorthernrail.com/,EN,0345 026 4700,,Europe/London,,
OP1294,Thameslink,https://www.thameslinkrailway.com/,EN,0345 026 4700,,Europe/London,,
OP1295,Caledonian Sleeper,https://www.sleeper.scot,EN,0330 060 0500,,Europe/London,,
OP1297,GWR,https://www.gwr.com/,EN,0345 7000 125,,Europe/London,,
OP13,Hutchinson,http://www.traveline.info,EN,,,Europe/London,,
OP130,Stagecoach East,https://www.stagecoachbus.com/about/east,EN,,,Europe/London,,
OP131,Stagecoach East,https://www.stagecoachbus.com/about/east,EN,,,Europe/London,,
OP132,SunFun Luxury Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1326,London Vintage Bus Hire,http://www.traveline.info,EN,,,Europe/London,,
OP134,Fenland Association for Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1340,Newent Community Link,http://www.traveline.info,EN,,,Europe/London,,
OP1341,arriva in the Midlands,https://www.arrivabus.co.uk/midlands/,EN,,,Europe/London,,
OP1346,Coniston Launch,http://www.conistonlaunch.co.uk/index.htm,EN,,,Europe/London,,
OP1351,Anthony's Travel,http://www.anthonys-travel.co.uk,EN,,,Europe/London,,
OP136,Ramsey and District Community Bus Association,http://www.traveline.info,EN,,,Europe/London,,
OP1360,Derek Hilton Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1362,Sightseeing Liverpool,http://www.traveline.info,EN,,,Europe/London,,
OP1367,Urchfont Community Bus,http://www.traveline.info,EN,,,Europe/London,,
OP1371,Community First Wessex,http://www.traveline.info,EN,,,Europe/London,,
OP1372,D & P Boat Hire,http://www.traveline.info,EN,,,Europe/London,,
OP1376,Fastline Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1377,Keswick Launch Co.,https://keswick-launch.co.uk,EN,,,Europe/London,,
OP1379,Windermere Lake Cruises,http://www.windermere-lakecruises.co.uk/,EN,,,Europe/London,,
OP1380,Kevs Cars and Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1382,Blackburn Private Hire,http://www.traveline.info,EN,,,Europe/London,,
OP1384,Wrexham Taxis,http://www.traveline.info,EN,,,Europe/London,,
OP1386,Premier Bus & Coach,http://www.traveline.info,EN,,,Europe/London,,
OP139,Semmence Coaches,http://www.semmence.co.uk,EN,01953 602135,,Europe/London,,
OP1392,Going Forward Buses,https://www.goingforwardbuses.com/,EN,,,Europe/London,,
OP1393,West Oxfordshire Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1394,Falcon Buses,https://www.falconbuses.co.uk/,EN,,,Europe/London,,
OP1397,Number Seven Boat Trips,http://www.traveline.info,EN,,,Europe/London,,
OP1398,Runnymede Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1399,London Bus Preservation Trust,http://www.traveline.info,EN,,,Europe/London,,
OP140,Go to town,http://www.wnct.co.uk,EN,,,Europe/London,,
OP1401,Campbells Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP141,Sanders Coaches,http://www.sanderscoaches.com/,EN,,,Europe/London,,
OP1410,Bo'ness & Kinneil Railway,http://www.traveline.info,EN,,,Europe/London,,
OP1411,Keith & Dufftown Railway,http://www.traveline.info,EN,,,Europe/London,,
OP1412,Cruise Loch Lomond,http://www.traveline.info,EN,,,Europe/London,,
OP1415,Strathspey Railway Co,http://www.traveline.info,EN,,,Europe/London,,
OP1418,WKN Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP142,Simonds Countrylink,http://www.simonds.co.uk/,EN,,,Europe/London,,
OP1424,Pembrokeshire County Council,http://www.traveline.info,EN,,,Europe/London,,
OP1427,The Mountain Goat,http://www.traveline.info,EN,,,Europe/London,,
OP1428,Stevenson's Travel,http://www.traveline.info,EN,,,Europe/London,,
OP143,First EasternCounties,https://www.firstgroup.com/norfolk-suffolk,EN,,,Europe/London,,
OP1433,Sweeneys Cruises,http://www.traveline.info,EN,,,Europe/London,,
OP1434,Ardlui Hotel,http://www.traveline.info,EN,,,Europe/London,,
OP1439,Torbay Minibuses,http://www.traveline.info,EN,,,Europe/London,,
OP144,konectbus,http://www.konectbus.co.uk/,EN,,,Europe/London,,
OP145,Coach Services,http://www.coachservicesltd.com,EN,,,Europe/London,,
OP1452,Borders Buses,https://bordersbuses.co.uk,EN,01896 754350,,Europe/London,,
OP1457,B & J Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1458,Cranberry Coachways,http://www.traveline.info,EN,,,Europe/London,,
OP1459,Mario Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP146,Our Bus,http://www.ourhire.co.uk/our-bus,EN,,,Europe/London,,
OP1460,Glenelg-Skye Ferry,http://www.traveline.info,EN,,,Europe/London,,
OP1462,The Goole GoFar,http://www.traveline.info,EN,,,Europe/London,,
OP1465,KSM Motors,http://www.traveline.info,EN,,,Europe/London,,
OP1466,GD Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1469,Southbourne Buses,http://www.traveline.info,EN,,,Europe/London,,
OP147,Suffolk norse,http://suffolknorse.co.uk,EN,,,Europe/London,,
OP1470,4K Travel,https://www.4ktravel.co.uk/,EN,,,Europe/London,,
OP1485,South Ayrshire Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1488,Bakers Dolphin,http://www.traveline.info,EN,,,Europe/London,,
OP1489,Stanton's of Stoke,http://www.traveline.info,EN,,,Europe/London,,
OP1490,Link Network,https://www.linknetworkbus.co.uk/,EN,,,Europe/London,,
OP1495,Jetstream Tours,http://www.traveline.info,EN,,,Europe/London,,
OP1499,Mendip Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP15,Stagecoach South,https://www.stagecoachbus.com/about/south,EN,,,Europe/London,,
OP1500,Solent Blue Line,http://www.traveline.info,EN,,,Europe/London,,
OP1502,Braintree Community Transport,http://www.traveline.info,EN,,,Europe/London,,
OP1512,Bo'ness and Area Community Bus Association,https://bonesscommunitybus.scot/,EN,,,Europe/London,,
OP1519,Englands Limousines,http://www.traveline.info,EN,,,Europe/London,,
OP152,Feline Travel,https://www.felinetravel.com/,EN,,,Europe/London,,
OP1520,Howard Snaith,http://www.traveline.info,EN,,,Europe/London,,
OP1522,Western Isles Cruises,http://www.traveline.info,EN,,,Europe/London,,
OP1523,Ellie Rose UK,http://www.traveline.info,EN,,,Europe/London,,
OP1528,Watermill Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1529,Merlin Travel,http://www.traveline.info,EN,,,Europe/London,,
OP153,lynx,http://lynxbus.co.uk,EN,,,Europe/London,,
OP1530,Ultimate Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1531,A2B Bus & Coach,https://www.a2bbusandcoach.com/,EN,,,Europe/London,,
OP1541,A-line Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1547,Scotland & Bates,http://www.traveline.info,EN,,,Europe/London,,
OP1548,Stowmarket Minibus and Coach Hire,http://www.traveline.info,EN,,,Europe/London,,
OP155,BorderBus,http://www.border-bus.co.uk/,EN,,,Europe/London,,
OP1553,Ashley Travel (Minibuses) Ltd,http://www.traveline.info,EN,,,Europe/London,,
OP1554,Vision Bus,https://www.visionbus.co.uk/,EN,01204 468288,,Europe/London,,
OP1557,R & J Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1565,Oakleys Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1566,Gloucester Minibuses,http://www.traveline.info,EN,,,Europe/London,,
OP157,Easyway,http://www.easywayminicoachhire.co.uk,EN,,,Europe/London,,
OP1570,Select Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP158,Edwards Bros,http://www.traveline.info,EN,,,Europe/London,,
OP16,P. & O. Lloyd,http://www.polloydcoaches.co.uk/bus-services/,EN,01352 710 682,,Europe/London,,
OP160,Andrews of Tideswell,http://www.traveline.info,EN,,,Europe/London,,
OP161,High Peak,http://www.highpeakbuses.com,EN,,,Europe/London,,
OP1630,R.K.Travel,http://www.traveline.info,EN,,,Europe/London,,
OP164,Aimée's,http://www.aimeestravel.com,EN,,,Europe/London,,
OP165,Stagecoach in Chesterfield,https://www.stagecoachbus.com/about/yorkshire,EN,,,Europe/London,,
OP1651,Wolverhampton University Bus,http://www.traveline.info,EN,,,Europe/London,,
OP167,Linburg,http://www.linburg.co.uk,EN,,,Europe/London,,
OP168,McEwens,http://www.mcewenscoaches.com,EN,,,Europe/London,,
OP169,TM Travel,http://www.tmtravel.co.uk,EN,,,Europe/London,,
OP17,First South & West Wales,https://www.firstgroup.com/south-west-wales,EN,,,Europe/London,,
OP170,notts+derby,http://www.nottsderby.co.uk/,EN,,,Europe/London,,
OP1708,London Waterbus Company,https://www.londonwaterbus.com/timetable,EN,0203 763 9981,,Europe/London,,
OP171,Ashley Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1716,Sharpes of Nottingham,http://www.traveline.info,EN,,,Europe/London,,
OP172,Johnson Brothers,http://www.traveline.info,EN,,,Europe/London,,
OP1724,Finesse Travel,http://www.traveline.info,EN,,,Europe/London,,
OP173,Midland Classic,http://www.midlandclassic.com/,EN,,,Europe/London,,
OP1733,Thames Valley Buses,http://www.traveline.info,EN,,,Europe/London,,
OP174,Powells Bus,http://www.powellsbus.co.uk,EN,,,Europe/London,,
OP175,Littles,http://www.littlestravel.co.uk/,EN,,,Europe/London,,
OP1758,Arleen Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP176,Glovers Coaches,http://traveline.info,EN,,,Europe/London,,
OP177,Slacks,http://www.traveline.info,EN,,,Europe/London,,
OP1771,Clynnog & Trefor / Berwyn Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1774,Atwest,http://www.traveline.info,EN,,,Europe/London,,
OP178,Freeway Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1784,Woody's Taxis,http://www.traveline.info,EN,,,Europe/London,,
OP1789,Starline,http://www.traveline.info,EN,,,Europe/London,,
OP179,trentbarton,https://trentbarton.co.uk,EN,,,Europe/London,,
OP1809,R Williams,http://www.traveline.info,EN,,,Europe/London,,
OP181,D&G Bus,http://www.dgbus.co.uk/,EN,,,Europe/London,,
OP182,Hulleys of Baslow,http://www.hulleys-of-baslow.co.uk,EN,,,Europe/London,,
OP184,Harpur's Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP1840,Nexus Move,http://www.traveline.info,EN,,,Europe/London,,
OP185,Viking Coaches,http://www.traveline.info,EN,,,Europe/London,,
OP186,Hawkes Coaches,http://www.hawkestours.co.uk,EN,,,Europe/London,,
OP187,Bagnalls,http://www.traveline.info,EN,,,Europe/London,,
OP1876,GDS Travel,http://www.traveline.info,EN,,,Europe/London,,
OP1878,Blackpool Coach Hire,http://www.traveline.info,EN,,,Europe/London,,
OP1879,Scottish Citylink & Ulsterbus,http://www.traveline.info,EN,,,Europe/London,,
OP1882,Catch22Bus,http://www.catch22bus.co.uk,EN,,,Europe/London,,
OP189,First South Yorkshire,https://www.firstgroup.com/south-yorkshire,EN,,,Europe/London,,
